Name,Stat,Line,season_pct_over,L10_pct_over,L2W_pct_over,season_pct_under,L10_pct_under,L2W_pct_under
OG Anunoby,FANTASY,26.5,72.6,80.0,66.7,27.4,20.0,33.3
OG Anunoby,PTS+REBS,19.5,61.3,80.0,66.7,38.7,20.0,33.3
OG Anunoby,PTS+ASTS,16.5,54.8,80.0,66.7,45.2,20.0,33.3
OG Anunoby,TOV,1.5,58.1,50.0,33.3,41.9,50.0,66.7
Jakob Poeltl,PTS,12.0,48.5,50.0,50.0,42.4,30.0,33.3
Jakob Poeltl,REB,8.5,56.1,80.0,66.7,43.9,20.0,33.3
Jakob Poeltl,PTS+REBS+ASTS,23.5,50.0,70.0,66.7,50.0,30.0,33.3
Jakob Poeltl,FANTASY,27.5,66.7,80.0,83.3,31.8,20.0,16.7
Jakob Poeltl,PTS+REBS,20.5,54.5,70.0,66.7,45.5,30.0,33.3
Jakob Poeltl,PTS+ASTS,14.5,54.5,60.0,50.0,45.5,40.0,50.0
Jakob Poeltl,FTM,1.5,48.5,40.0,33.3,51.5,60.0,66.7
Paolo Banchero,PTS,20.5,44.9,50.0,50.0,55.1,50.0,50.0
Paolo Banchero,REB,7.0,40.6,60.0,50.0,56.5,40.0,50.0
Paolo Banchero,PTS+REBS+ASTS,31.5,39.1,50.0,33.3,60.9,50.0,66.7
Paolo Banchero,FANTASY,35.5,47.8,50.0,50.0,52.2,50.0,50.0
Paolo Banchero,PTS+REBS,27.5,42.0,30.0,16.7,58.0,70.0,83.3
Paolo Banchero,PTS+ASTS,24.5,53.6,60.0,50.0,46.4,40.0,50.0
Paolo Banchero,REBS+ASTS,11.0,40.6,50.0,66.7,53.6,40.0,33.3
Paolo Banchero,FTM,4.5,58.0,40.0,33.3,42.0,60.0,66.7
Wendell Carter Jr.,PTS,15.5,45.3,70.0,66.7,54.7,30.0,33.3
Wendell Carter Jr.,REB,9.0,41.5,40.0,33.3,43.4,40.0,50.0
Wendell Carter Jr.,PTS+REBS+ASTS,27.0,37.7,30.0,16.7,54.7,60.0,66.7
Wendell Carter Jr.,FANTASY,31.0,47.2,50.0,50.0,52.8,50.0,50.0
Wendell Carter Jr.,PTS+REBS,25.5,35.8,40.0,33.3,64.2,60.0,66.7
Wendell Carter Jr.,PTS+ASTS,17.5,49.1,50.0,33.3,50.9,50.0,66.7
Franz Wagner,PTS,17.5,64.0,60.0,83.3,36.0,40.0,16.7
Franz Wagner,REB,4.0,42.7,40.0,33.3,45.3,40.0,33.3
Franz Wagner,AST,3.5,45.3,70.0,83.3,54.7,30.0,16.7
Franz Wagner,PTS+REBS+ASTS,25.5,58.7,80.0,83.3,41.3,20.0,16.7
Franz Wagner,FANTASY,29.5,53.3,70.0,100.0,45.3,30.0,0.0
Franz Wagner,FG3M,1.5,48.0,40.0,50.0,52.0,60.0,50.0
Franz Wagner,PTS+REBS,22.5,60.0,80.0,83.3,40.0,20.0,16.7
Franz Wagner,PTS+ASTS,21.5,54.7,80.0,100.0,45.3,20.0,0.0
Markelle Fultz,PTS,14.5,45.5,40.0,33.3,54.5,60.0,66.7
Markelle Fultz,AST,5.5,47.3,70.0,50.0,52.7,30.0,50.0
